source,path,status,target
cases\kitchen-trash-cupboard\README.md,reports/openscad_step_probe.csv,ok,cases\kitchen-trash-cupboard\reports\openscad_step_probe.csv
cases\kitchen-trash-cupboard\README.md,reports/npm_audit_summary.csv,ok,cases\kitchen-trash-cupboard\reports\npm_audit_summary.csv
cases\kitchen-trash-cupboard\README.md,cupboard_benchmark/spec.py,ok,cases\kitchen-trash-cupboard\cupboard_benchmark\spec.py
cases\kitchen-trash-cupboard\README.md,cupboard_benchmark/exports.py,ok,cases\kitchen-trash-cupboard\cupboard_benchmark\exports.py
cases\kitchen-trash-cupboard\README.md,scripts/run_all.py,ok,cases\kitchen-trash-cupboard\scripts\run_all.py
cases\kitchen-trash-cupboard\README.md,scripts/install_openscad.ps1,ok,cases\kitchen-trash-cupboard\scripts\install_openscad.ps1
cases\kitchen-trash-cupboard\README.md,scripts/score_outputs.py,ok,cases\kitchen-trash-cupboard\scripts\score_outputs.py
cases\kitchen-trash-cupboard\README.md,scripts/generate_hyperframes_assets.py,ok,cases\kitchen-trash-cupboard\scripts\generate_hyperframes_assets.py
cases\kitchen-trash-cupboard\README.md,scripts/verify_markdown_links.py,ok,cases\kitchen-trash-cupboard\scripts\verify_markdown_links.py
cases\kitchen-trash-cupboard\README.md,reports/tool_landscape.md,ok,cases\kitchen-trash-cupboard\reports\tool_landscape.md
cases\kitchen-trash-cupboard\README.md,docs/SETUP_AND_USAGE.md,ok,cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/run_all_last_result.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\run_all_last_result.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/benchmark_report.md,ok,cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/measurements.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\measurements.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/score_breakdown.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\score_breakdown.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/score_items.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\score_items.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/output_file_fingerprints.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\output_file_fingerprints.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/image_metrics.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\image_metrics.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/non_scored_limits.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\non_scored_limits.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/screenshot_inventory.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\screenshot_inventory.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/step_imports.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\step_imports.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/openscad_step_probe.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\openscad_step_probe.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/report_image_check.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\report_image_check.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/markdown_link_check.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\markdown_link_check.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/npm_audit_summary.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\npm_audit_summary.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/run_all_last_result.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\run_all_last_result.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/measurements.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\measurements.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/score_items.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\score_items.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/output_file_fingerprints.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\output_file_fingerprints.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/image_metrics.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\image_metrics.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/screenshot_inventory.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\screenshot_inventory.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/report_image_check.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\report_image_check.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/markdown_link_check.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\markdown_link_check.csv
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,../reports/encoding_check.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\encoding_check.csv
cases\kitchen-trash-cupboard-concept1\README.md,cupboard_benchmark/spec.py,ok,cases\kitchen-trash-cupboard-concept1\cupboard_benchmark\spec.py
cases\kitchen-trash-cupboard-concept1\README.md,reports/benchmark_report.md,ok,cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md
cases\kitchen-trash-cupboard-concept1\README.md,reports/measurements.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\measurements.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/score_breakdown.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\score_breakdown.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/score_items.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\score_items.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/output_file_fingerprints.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\output_file_fingerprints.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/image_metrics.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\image_metrics.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/non_scored_limits.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\non_scored_limits.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/run_all_last_result.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\run_all_last_result.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/screenshots/,ok,cases\kitchen-trash-cupboard-concept1\reports\screenshots
cases\kitchen-trash-cupboard-concept1\README.md,reports/openscad_step_probe.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\openscad_step_probe.csv
cases\kitchen-trash-cupboard-concept1\README.md,reports/npm_audit_summary.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\npm_audit_summary.csv
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,score_items.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\score_items.csv
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,score_breakdown.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\score_breakdown.csv
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,output_file_fingerprints.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\output_file_fingerprints.csv
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,image_metrics.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\image_metrics.csv
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,non_scored_limits.csv,ok,cases\kitchen-trash-cupboard-concept1\reports\non_scored_limits.csv
docs\CASE_LAYOUT.md,../cases/cupboard/,ok,cases\cupboard
docs\CASE_LAYOUT.md,../cases/kitchen-trash-cupboard/,ok,cases\kitchen-trash-cupboard
README.md,cases/cupboard/,ok,cases\cupboard
README.md,cases/cupboard/reports/benchmark_report.md,ok,cases\cupboard\reports\benchmark_report.md
README.md,cases/cupboard/videos/cupboard-cad-comparison/,ok,cases\cupboard\videos\cupboard-cad-comparison
README.md,cases/kitchen-trash-cupboard/,ok,cases\kitchen-trash-cupboard
README.md,cases/kitchen-trash-cupboard/reports/benchmark_report.md,ok,cases\kitchen-trash-cupboard\reports\benchmark_report.md
README.md,cases/kitchen-trash-cupboard/videos/kitchen-trash-cupboard-comparison/,ok,cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison
README.md,docs/CASE_LAYOUT.md,ok,docs\CASE_LAYOUT.md
